レースID,ワイド,馬連,三連複,馬番1,馬番2,馬番3,30分前,10分前,5分前,オッズ,最低オッズ,最大オッズ,人気,取得時刻
202502011001,0,0,1,1,4,10,1,0,0,10.9,-1.0,-1.0,1,0
202502011001,0,0,1,4,8,10,1,0,0,13.3,-1.0,-1.0,2,0
202502011001,0,0,1,4,10,11,1,0,0,15.1,-1.0,-1.0,3,0
202502011001,0,0,1,1,4,8,1,0,0,15.8,-1.0,-1.0,4,0
202502011001,0,0,1,1,4,11,1,0,0,16.2,-1.0,-1.0,5,0
202502011001,0,0,1,1,8,10,1,0,0,21.4,-1.0,-1.0,6,0
202502011001,0,0,1,1,10,11,1,0,0,21.8,-1.0,-1.0,7,0
202502011001,0,0,1,4,8,11,1,0,0,22.5,-1.0,-1.0,8,0
202502011001,0,0,1,4,6,10,1,0,0,24.5,-1.0,-1.0,9,0
202502011001,0,0,1,1,4,12,1,0,0,33.5,-1.0,-1.0,10,0
202502011001,0,0,1,8,10,11,1,0,0,34.8,-1.0,-1.0,11,0
202502011001,0,0,1,4,10,12,1,0,0,37.0,-1.0,-1.0,12,0
202502011001,0,0,1,1,6,10,1,0,0,39.9,-1.0,-1.0,13,0
202502011001,0,0,1,4,8,12,1,0,0,41.8,-1.0,-1.0,14,0
202502011001,0,0,1,1,4,6,1,0,0,42.2,-1.0,-1.0,15,0
202502011001,0,0,1,4,11,12,1,0,0,43.7,-1.0,-1.0,16,0
202502011001,0,0,1,1,8,11,1,0,0,48.4,-1.0,-1.0,17,0
202502011001,0,0,1,6,8,10,1,0,0,55.9,-1.0,-1.0,18,0
202502011001,0,0,1,4,6,8,1,0,0,57.2,-1.0,-1.0,19,0
202502011001,0,0,1,6,10,11,1,0,0,60.0,-1.0,-1.0,20,0
202502011001,0,0,1,4,6,11,1,0,0,61.4,-1.0,-1.0,21,0
202502011001,0,0,1,4,9,10,1,0,0,64.5,-1.0,-1.0,22,0
202502011001,0,0,1,1,10,12,1,0,0,64.9,-1.0,-1.0,23,0
202502011001,0,0,1,3,4,10,1,0,0,66.1,-1.0,-1.0,24,0
202502011001,0,0,1,1,11,12,1,0,0,71.8,-1.0,-1.0,25,0
202502011001,0,0,1,1,4,9,1,0,0,73.4,-1.0,-1.0,26,0
202502011001,0,0,1,10,11,12,1,0,0,77.5,-1.0,-1.0,27,0
202502011001,0,0,1,1,3,10,1,0,0,80.5,-1.0,-1.0,28,0
202502011001,0,0,1,1,8,12,1,0,0,85.6,-1.0,-1.0,29,0
202502011001,0,0,1,1,9,10,1,0,0,86.4,-1.0,-1.0,30,0
202502011001,0,0,1,8,10,12,1,0,0,91.0,-1.0,-1.0,31,0
202502011001,0,0,1,2,4,10,1,0,0,91.4,-1.0,-1.0,32,0
202502011001,0,0,1,8,9,10,1,0,0,92.3,-1.0,-1.0,33,0
202502011001,0,0,1,4,8,9,1,0,0,92.6,-1.0,-1.0,34,0
202502011001,0,0,1,1,2,10,1,0,0,99.0,-1.0,-1.0,35,0
202502011001,0,0,1,1,3,4,1,0,0,100.6,-1.0,-1.0,36,0
202502011001,0,0,1,1,6,11,1,0,0,101.7,-1.0,-1.0,37,0
202502011001,0,0,1,1,6,8,1,0,0,115.4,-1.0,-1.0,38,0
202502011001,0,0,1,8,11,12,1,0,0,116.4,-1.0,-1.0,39,0
202502011001,0,0,1,3,10,11,1,0,0,117.1,-1.0,-1.0,40,0
202502011001,0,0,1,4,9,11,1,0,0,124.6,-1.0,-1.0,41,0
202502011001,0,0,1,4,6,12,1,0,0,128.0,-1.0,-1.0,42,0
202502011001,0,0,1,3,8,10,1,0,0,131.3,-1.0,-1.0,43,0
202502011001,0,0,1,1,2,4,1,0,0,138.3,-1.0,-1.0,44,0
202502011001,0,0,1,9,10,11,1,0,0,145.7,-1.0,-1.0,45,0
202502011001,0,0,1,6,8,11,1,0,0,153.2,-1.0,-1.0,46,0
202502011001,0,0,1,1,4,7,1,0,0,158.1,-1.0,-1.0,47,0
202502011001,0,0,1,3,4,8,1,0,0,161.0,-1.0,-1.0,48,0
202502011001,0,0,1,2,8,10,1,0,0,161.4,-1.0,-1.0,49,0
202502011001,0,0,1,4,7,10,1,0,0,174.6,-1.0,-1.0,50,0
202502011001,0,0,1,2,10,11,1,0,0,174.8,-1.0,-1.0,51,0
202502011001,0,0,1,3,4,11,1,0,0,175.5,-1.0,-1.0,52,0
202502011001,0,0,1,6,10,12,1,0,0,184.5,-1.0,-1.0,53,0
