レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202510020607,1,0,0,1,2.7,1.3,1.5,1,1158
202510020607,1,0,0,3,5.2,1.8,2.7,2,1158
202510020607,1,0,0,7,6.7,1.8,2.5,3,1158
202510020607,1,0,0,2,6.7,2.0,3.0,4,1158
202510020607,1,0,0,10,13.0,2.9,4.4,5,1158
202510020607,1,0,0,6,16.1,4.3,6.6,6,1158
202510020607,1,0,0,8,16.7,3.0,4.5,7,1158
202510020607,1,0,0,16,21.9,4.4,6.9,8,1158
202510020607,1,0,0,4,21.9,4.2,6.6,9,1158
202510020607,1,0,0,12,28.9,5.2,8.1,10,1158
202510020607,1,0,0,11,36.4,5.5,8.6,11,1158
202510020607,1,0,0,13,46.1,7.6,12.0,12,1158
202510020607,1,0,0,15,69.5,12.1,19.2,13,1158
202510020607,1,0,0,5,143.8,24.8,39.8,14,1158
202510020607,1,0,0,9,176.8,24.3,38.9,15,1158
202510020607,1,0,0,14,255.1,21.1,33.8,16,1158
