レースID,ワイド,馬連,三連複,馬番1,馬番2,馬番3,30分前,10分前,5分前,オッズ,最低オッズ,最大オッズ,人気,取得時刻
202503020603,1,0,0,12,13,-1,1,0,0,-1,3.2,3.6,1,1176
202503020603,1,0,0,13,14,-1,1,0,0,-1,3.3,3.7,2,1176
202503020603,1,0,0,2,13,-1,1,0,0,-1,4.1,4.6,3,1176
202503020603,1,0,0,12,14,-1,1,0,0,-1,4.2,4.9,4,1176
202503020603,1,0,0,2,12,-1,1,0,0,-1,5.2,6.0,5,1176
202503020603,1,0,0,2,14,-1,1,0,0,-1,5.5,6.3,6,1176
202503020603,1,0,0,8,13,-1,1,0,0,-1,6.9,7.6,7,1176
202503020603,1,0,0,5,13,-1,1,0,0,-1,7.4,8.2,8,1176
202503020603,1,0,0,10,13,-1,1,0,0,-1,10.4,11.5,9,1176
202503020603,1,0,0,8,12,-1,1,0,0,-1,10.8,12.2,10,1176
202503020603,1,0,0,10,12,-1,1,0,0,-1,10.9,12.1,11,1176
202503020603,1,0,0,5,12,-1,1,0,0,-1,11.4,12.8,12,1176
202503020603,1,0,0,10,14,-1,1,0,0,-1,12.2,13.5,13,1176
202503020603,1,0,0,13,16,-1,1,0,0,-1,13.2,14.6,14,1176
202503020603,1,0,0,8,14,-1,1,0,0,-1,13.3,14.9,15,1176
202503020603,1,0,0,2,8,-1,1,0,0,-1,13.9,15.4,16,1176
202503020603,1,0,0,2,5,-1,1,0,0,-1,14.0,15.4,17,1176
202503020603,1,0,0,5,14,-1,1,0,0,-1,14.4,16.2,18,1176
202503020603,1,0,0,2,10,-1,1,0,0,-1,14.5,15.7,19,1176
202503020603,1,0,0,1,13,-1,1,0,0,-1,15.6,17.2,20,1176
202503020603,1,0,0,1,12,-1,1,0,0,-1,15.8,17.4,21,1176
202503020603,1,0,0,12,16,-1,1,0,0,-1,16.8,18.6,22,1176
202503020603,1,0,0,5,8,-1,1,0,0,-1,18.9,20.3,23,1176
202503020603,1,0,0,14,16,-1,1,0,0,-1,19.0,21.0,24,1176
202503020603,1,0,0,1,2,-1,1,0,0,-1,20.9,22.6,25,1176
202503020603,1,0,0,1,14,-1,1,0,0,-1,22.6,24.8,26,1176
202503020603,1,0,0,2,16,-1,1,0,0,-1,25.6,27.8,27,1176
202503020603,1,0,0,5,10,-1,1,0,0,-1,26.6,28.1,28,1176
202503020603,1,0,0,8,10,-1,1,0,0,-1,27.2,28.9,29,1176
202503020603,1,0,0,4,13,-1,1,0,0,-1,28.6,31.2,30,1176
