レースID,ワイド,馬連,三連複,馬番1,馬番2,馬番3,30分前,10分前,5分前,オッズ,最低オッズ,最大オッズ,人気,取得時刻
202503020601,0,0,1,2,3,4,0,0,1,1504.3,-1.0,-1.0,77,1164
202503020601,0,0,1,2,4,5,0,0,1,1512.6,-1.0,-1.0,78,1164
202503020601,0,0,1,2,5,9,0,0,1,1630.0,-1.0,-1.0,79,1164
202503020601,0,0,1,2,3,5,0,0,1,1750.2,-1.0,-1.0,80,1164
202503020601,0,0,1,3,5,9,0,0,1,1922.7,-1.0,-1.0,81,1164
202503020601,0,0,1,2,3,9,0,0,1,2256.4,-1.0,-1.0,82,1164
202503020601,0,0,1,2,5,6,0,0,1,2265.8,-1.0,-1.0,83,1164
202503020601,0,0,1,2,3,6,0,0,1,2284.8,-1.0,-1.0,84,1164
202503020601,0,0,1,4,7,8,0,0,1,2.3,-1.0,-1.0,1,1164
202503020601,0,0,1,6,7,8,0,0,1,7.6,-1.0,-1.0,2,1164
202503020601,0,0,1,1,7,8,0,0,1,8.4,-1.0,-1.0,3,1164
202503020601,0,0,1,1,4,8,0,0,1,11.0,-1.0,-1.0,4,1164
202503020601,0,0,1,4,6,8,0,0,1,11.8,-1.0,-1.0,5,1164
202503020601,0,0,1,7,8,9,0,0,1,19.7,-1.0,-1.0,6,1164
202503020601,0,0,1,1,6,8,0,0,1,23.0,-1.0,-1.0,7,1164
202503020601,0,0,1,4,8,9,0,0,1,28.0,-1.0,-1.0,8,1164
202503020601,0,0,1,3,7,8,0,0,1,39.6,-1.0,-1.0,9,1164
202503020601,0,0,1,6,8,9,0,0,1,45.7,-1.0,-1.0,10,1164
202503020601,0,0,1,1,8,9,0,0,1,47.6,-1.0,-1.0,11,1164
202503020601,0,0,1,1,4,7,0,0,1,52.9,-1.0,-1.0,12,1164
202503020601,0,0,1,4,6,7,0,0,1,54.3,-1.0,-1.0,13,1164
202503020601,0,0,1,5,7,8,0,0,1,56.3,-1.0,-1.0,14,1164
202503020601,0,0,1,4,5,8,0,0,1,61.1,-1.0,-1.0,15,1164
202503020601,0,0,1,3,4,8,0,0,1,68.1,-1.0,-1.0,16,1164
202503020601,0,0,1,1,3,8,0,0,1,95.2,-1.0,-1.0,17,1164
202503020601,0,0,1,1,5,8,0,0,1,99.7,-1.0,-1.0,18,1164
202503020601,0,0,1,2,4,8,0,0,1,101.7,-1.0,-1.0,19,1164
202503020601,0,0,1,2,7,8,0,0,1,102.8,-1.0,-1.0,20,1164
202503020601,0,0,1,5,6,8,0,0,1,104.3,-1.0,-1.0,21,1164
202503020601,0,0,1,3,6,8,0,0,1,112.3,-1.0,-1.0,22,1164
202503020601,0,0,1,1,4,6,0,0,1,114.9,-1.0,-1.0,23,1164
202503020601,0,0,1,1,6,7,0,0,1,117.2,-1.0,-1.0,24,1164
202503020601,0,0,1,4,7,9,0,0,1,143.2,-1.0,-1.0,25,1164
202503020601,0,0,1,5,8,9,0,0,1,145.9,-1.0,-1.0,26,1164
202503020601,0,0,1,3,8,9,0,0,1,150.8,-1.0,-1.0,27,1164
202503020601,0,0,1,1,2,8,0,0,1,153.9,-1.0,-1.0,28,1164
202503020601,0,0,1,2,6,8,0,0,1,176.5,-1.0,-1.0,29,1164
202503020601,0,0,1,3,5,8,0,0,1,206.2,-1.0,-1.0,30,1164
202503020601,0,0,1,2,8,9,0,0,1,217.2,-1.0,-1.0,31,1164
202503020601,0,0,1,1,4,9,0,0,1,235.1,-1.0,-1.0,32,1164
202503020601,0,0,1,1,7,9,0,0,1,239.7,-1.0,-1.0,33,1164
202503020601,0,0,1,6,7,9,0,0,1,244.6,-1.0,-1.0,34,1164
202503020601,0,0,1,4,6,9,0,0,1,272.2,-1.0,-1.0,35,1164
202503020601,0,0,1,4,5,7,0,0,1,283.2,-1.0,-1.0,36,1164
202503020601,0,0,1,3,4,7,0,0,1,292.0,-1.0,-1.0,37,1164
202503020601,0,0,1,2,5,8,0,0,1,327.5,-1.0,-1.0,38,1164
202503020601,0,0,1,2,3,8,0,0,1,329.3,-1.0,-1.0,39,1164
202503020601,0,0,1,1,6,9,0,0,1,367.9,-1.0,-1.0,40,1164
202503020601,0,0,1,1,4,5,0,0,1,381.0,-1.0,-1.0,41,1164
202503020601,0,0,1,1,3,7,0,0,1,409.0,-1.0,-1.0,42,1164
202503020601,0,0,1,1,3,4,0,0,1,438.9,-1.0,-1.0,43,1164
202503020601,0,0,1,2,4,7,0,0,1,453.9,-1.0,-1.0,44,1164
202503020601,0,0,1,1,5,7,0,0,1,456.5,-1.0,-1.0,45,1164
202503020601,0,0,1,5,6,7,0,0,1,532.7,-1.0,-1.0,46,1164
202503020601,0,0,1,4,5,6,0,0,1,537.4,-1.0,-1.0,47,1164
202503020601,0,0,1,3,6,7,0,0,1,561.7,-1.0,-1.0,48,1164
202503020601,0,0,1,1,2,4,0,0,1,577.2,-1.0,-1.0,49,1164
202503020601,0,0,1,3,4,6,0,0,1,630.5,-1.0,-1.0,50,1164
