レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202510020602,0,0,1,6,3.1,1.4,1.6,1,1158
202510020602,0,0,1,14,6.4,2.2,3.1,2,1158
202510020602,0,0,1,11,6.8,1.8,2.5,3,1158
202510020602,0,0,1,5,9.8,2.3,3.3,4,1158
202510020602,0,0,1,18,9.9,2.9,4.2,5,1158
202510020602,0,0,1,9,11.7,3.1,4.6,6,1158
202510020602,0,0,1,8,14.5,4.0,5.9,7,1158
202510020602,0,0,1,12,14.6,2.8,4.1,8,1158
202510020602,0,0,1,2,18.7,4.3,6.4,9,1158
202510020602,0,0,1,17,21.4,5.0,7.4,10,1158
202510020602,0,0,1,15,27.1,5.8,8.7,11,1158
202510020602,0,0,1,1,52.1,8.7,13.2,12,1158
202510020602,0,0,1,13,69.1,12.0,18.3,13,1158
202510020602,0,0,1,7,80.1,12.9,19.6,14,1158
202510020602,0,0,1,16,122.1,25.9,39.7,15,1158
202510020602,0,0,1,3,132.2,23.5,36.1,16,1158
202510020602,0,0,1,10,212.8,34.8,53.4,17,1158
202510020602,0,0,1,4,269.4,36.5,56.0,18,1158
