レースID,ワイド,馬連,三連複,馬番1,馬番2,馬番3,30分前,10分前,5分前,オッズ,最低オッズ,最大オッズ,人気,取得時刻
202503020609,0,1,0,1,8,-1,0,1,0,4.8,-1.0,-1.0,1,1211
202503020609,0,1,0,6,8,-1,0,1,0,7.6,-1.0,-1.0,2,1211
202503020609,0,1,0,8,11,-1,0,1,0,8.6,-1.0,-1.0,3,1211
202503020609,0,1,0,8,13,-1,0,1,0,11.1,-1.0,-1.0,4,1211
202503020609,0,1,0,2,8,-1,0,1,0,14.3,-1.0,-1.0,5,1211
202503020609,0,1,0,5,8,-1,0,1,0,15.7,-1.0,-1.0,6,1211
202503020609,0,1,0,1,6,-1,0,1,0,17.1,-1.0,-1.0,7,1211
202503020609,0,1,0,3,8,-1,0,1,0,19.7,-1.0,-1.0,8,1211
202503020609,0,1,0,1,11,-1,0,1,0,23.0,-1.0,-1.0,9,1211
202503020609,0,1,0,1,5,-1,0,1,0,30.3,-1.0,-1.0,10,1211
202503020609,0,1,0,1,2,-1,0,1,0,36.7,-1.0,-1.0,11,1211
202503020609,0,1,0,1,13,-1,0,1,0,37.2,-1.0,-1.0,12,1211
202503020609,0,1,0,7,8,-1,0,1,0,40.5,-1.0,-1.0,13,1211
202503020609,0,1,0,1,3,-1,0,1,0,48.5,-1.0,-1.0,14,1211
202503020609,0,1,0,6,11,-1,0,1,0,50.4,-1.0,-1.0,15,1211
202503020609,0,1,0,4,8,-1,0,1,0,52.3,-1.0,-1.0,16,1211
202503020609,0,1,0,6,13,-1,0,1,0,68.4,-1.0,-1.0,17,1211
202503020609,0,1,0,11,13,-1,0,1,0,69.3,-1.0,-1.0,18,1211
202503020609,0,1,0,2,6,-1,0,1,0,74.7,-1.0,-1.0,19,1211
202503020609,0,1,0,5,11,-1,0,1,0,77.2,-1.0,-1.0,20,1211
202503020609,0,1,0,1,7,-1,0,1,0,80.3,-1.0,-1.0,21,1211
202503020609,0,1,0,8,12,-1,0,1,0,81.1,-1.0,-1.0,22,1211
202503020609,0,1,0,2,11,-1,0,1,0,81.5,-1.0,-1.0,23,1211
202503020609,0,1,0,8,9,-1,0,1,0,83.2,-1.0,-1.0,24,1211
202503020609,0,1,0,1,4,-1,0,1,0,90.4,-1.0,-1.0,25,1211
202503020609,0,1,0,5,6,-1,0,1,0,91.6,-1.0,-1.0,26,1211
202503020609,0,1,0,3,6,-1,0,1,0,97.4,-1.0,-1.0,27,1211
202503020609,0,1,0,2,13,-1,0,1,0,100.3,-1.0,-1.0,28,1211
202503020609,0,1,0,3,11,-1,0,1,0,103.8,-1.0,-1.0,29,1211
202503020609,0,1,0,2,3,-1,0,1,0,119.0,-1.0,-1.0,30,1211
