レースID,ワイド,馬連,三連複,馬番1,馬番2,馬番3,30分前,10分前,5分前,オッズ,最低オッズ,最大オッズ,人気,取得時刻
202510020611,0,1,0,5,7,-1,0,1,0,11.2,-1.0,-1.0,1,1221
202510020611,0,1,0,7,9,-1,0,1,0,13.1,-1.0,-1.0,2,1221
202510020611,0,1,0,7,12,-1,0,1,0,14.5,-1.0,-1.0,3,1221
202510020611,0,1,0,7,13,-1,0,1,0,17.8,-1.0,-1.0,4,1221
202510020611,0,1,0,1,7,-1,0,1,0,19.6,-1.0,-1.0,5,1221
202510020611,0,1,0,5,9,-1,0,1,0,20.0,-1.0,-1.0,6,1221
202510020611,0,1,0,5,12,-1,0,1,0,22.6,-1.0,-1.0,7,1221
202510020611,0,1,0,9,12,-1,0,1,0,27.1,-1.0,-1.0,8,1221
202510020611,0,1,0,9,13,-1,0,1,0,29.4,-1.0,-1.0,9,1221
202510020611,0,1,0,5,13,-1,0,1,0,32.7,-1.0,-1.0,10,1221
202510020611,0,1,0,1,5,-1,0,1,0,33.8,-1.0,-1.0,11,1221
202510020611,0,1,0,7,10,-1,0,1,0,36.4,-1.0,-1.0,12,1221
202510020611,0,1,0,1,9,-1,0,1,0,39.2,-1.0,-1.0,13,1221
202510020611,0,1,0,3,5,-1,0,1,0,40.8,-1.0,-1.0,14,1221
202510020611,0,1,0,2,5,-1,0,1,0,42.0,-1.0,-1.0,15,1221
202510020611,0,1,0,3,7,-1,0,1,0,42.1,-1.0,-1.0,16,1221
202510020611,0,1,0,2,7,-1,0,1,0,45.0,-1.0,-1.0,17,1221
202510020611,0,1,0,1,13,-1,0,1,0,45.9,-1.0,-1.0,18,1221
202510020611,0,1,0,12,13,-1,0,1,0,46.9,-1.0,-1.0,19,1221
202510020611,0,1,0,7,11,-1,0,1,0,47.8,-1.0,-1.0,20,1221
202510020611,0,1,0,1,12,-1,0,1,0,48.0,-1.0,-1.0,21,1221
202510020611,0,1,0,3,9,-1,0,1,0,51.1,-1.0,-1.0,22,1221
202510020611,0,1,0,2,9,-1,0,1,0,51.9,-1.0,-1.0,23,1221
202510020611,0,1,0,2,13,-1,0,1,0,60.3,-1.0,-1.0,24,1221
202510020611,0,1,0,5,11,-1,0,1,0,61.2,-1.0,-1.0,25,1221
202510020611,0,1,0,6,7,-1,0,1,0,65.7,-1.0,-1.0,26,1221
202510020611,0,1,0,2,12,-1,0,1,0,66.0,-1.0,-1.0,27,1221
202510020611,0,1,0,3,12,-1,0,1,0,68.6,-1.0,-1.0,28,1221
202510020611,0,1,0,9,11,-1,0,1,0,69.4,-1.0,-1.0,29,1221
202510020611,0,1,0,9,10,-1,0,1,0,70.1,-1.0,-1.0,30,1221
