レースID,30分前,10分前,5分前,馬番,単勝オッズ,最小複勝オッズ,最大複勝オッズ,人気,取得時間
202502011007,0,1,0,1,1.8,1.1,1.3,1,1158
202502011007,0,1,0,2,6.0,1.7,2.7,2,1158
202502011007,0,1,0,8,7.6,1.9,3.1,3,1158
202502011007,0,1,0,7,8.3,1.5,2.2,4,1158
202502011007,0,1,0,6,18.7,3.2,5.5,5,1158
202502011007,0,1,0,3,19.9,3.1,5.4,6,1158
202502011007,0,1,0,10,20.4,2.8,4.7,7,1158
202502011007,0,1,0,4,23.3,4.2,7.3,8,1158
202502011007,0,1,0,13,26.6,3.9,6.8,9,1158
202502011007,0,1,0,5,41.1,6.2,11.0,10,1158
202502011007,0,1,0,12,62.4,7.1,12.6,11,1158
202502011007,0,1,0,11,84.2,13.1,23.7,12,1158
202502011007,0,1,0,9,201.8,15.7,28.3,13,1158
202502011007,0,1,0,14,330.8,46.6,84.4,14,1158
